"","siCtrl_1","siCtrl_2","sip53_1","sip53_2"
"ENSG00000000003.15",3.2082637177657,7.22603451312794,8.40442789415344,7.40873213762851
"ENSG00000000419.13",1965.59623775112,1980.96574724179,2156.57619763977,1673.31507279867
"ENSG00000000457.14",217.092511568813,237.42684828849,221.036453616235,185.218303440713
"ENSG00000000460.17",722.928757736539,739.120101628515,549.649584277635,567.297203681268
"ENSG00000001036.14",1579.53517037998,1600.05049933547,2349.03759641589,2159.11622296602
"ENSG00000001084.13",1233.04268886129,1440.04544940193,663.949803638122,714.413456128463
"ENSG00000001167.14",1073.69892421226,1068.4208172982,1643.065653307,1732.58492989969
"ENSG00000001460.18",197.842929262218,183.747734762396,85.7251645203651,86.7880050407911
"ENSG00000001461.17",331.520584169123,369.560050814258,140.353945832362,154.524984584823
"ENSG00000001497.18",2475.71016887587,2386.65597062169,2735.64127954695,2543.31190381733
"ENSG00000001561.7",0,1.03229064473256,1.68088557883069,0
"ENSG00000001617.12",5.34710619627618,11.3551970920582,24.372840893045,29.634928550514
"ENSG00000001629.10",3622.12973735748,3763.73169069493,2830.61131475088,3204.80584467702
"ENSG00000001630.17",228.85614520062,196.135222499187,191.620955986698,230.729086571859
"ENSG00000001631.16",444.879235530178,426.336036274549,258.856379139926,269.889527870753
"ENSG00000002016.18",401.032964720713,467.627662063851,413.497852392349,440.290367036208
"ENSG00000002079.14",742.178340043133,733.958648404853,467.286190914931,510.144127190991
"ENSG00000002330.14",301.576789469976,315.880937288164,369.794827342751,293.174114589014
"ENSG00000002549.13",1347.4707614616,1345.07471008653,1675.8429220942,1381.19934851503
"ENSG00000002745.13",19.2495823065942,17.5489409604536,21.0110697353836,28.5765382451385
"ENSG00000002746.15",322.965214255081,349.946528564339,159.684129988915,276.239869703006
"ENSG00000002822.16",142.233024820946,130.068621236303,151.279702094762,146.057862141819
"ENSG00000002834.18",9819.42581884157,9720.04871080182,8639.75187518974,9485.29391677524
"ENSG00000002919.15",909.00805336695,935.255324127703,804.303749470484,693.245650020953
"ENSG00000003056.8",5023.07156078184,5359.65302745147,3106.27654967911,3222.7984798684
"ENSG00000003096.14",17.1107398280838,24.7749754735815,12.6066418412302,12.700683664506
"ENSG00000003137.9",13.9024761103181,30.9687193419769,70.5971943108889,115.36454328593
"ENSG00000003147.19",42.7768495702094,28.9041380525118,34.4581543660291,19.051025496759
"ENSG00000003249.15",1021.29728348875,1063.25936407454,1529.60587673593,1430.94369286768
"ENSG00000003393.16",1937.79128553049,2078.00106784665,1364.87909001052,1500.79745302246
"ENSG00000003400.15",521.877564756555,562.598401379247,346.262429239122,348.21041046854
"ENSG00000003402.20",1797.69710318805,1874.63981083434,1584.23465804792,1705.06678195993
"ENSG00000003436.16",4567.49811285911,4522.46531457336,3955.12376698861,3844.07358912382
"ENSG00000003509.16",562.515571848254,541.952588484596,653.024047375722,630.800622003798
"ENSG00000003756.17",1213.79310655469,1224.29670465282,1486.74329447574,1467.98735355582
"ENSG00000003987.14",26.7355309813809,27.8718474077792,18.4897413671376,22.2261964128855
"ENSG00000003989.18",5.34710619627618,4.12916257893025,18.4897413671376,14.817464275257
"ENSG00000004059.11",3295.95625938463,3096.87193419769,3776.10945284314,3103.20037536097
"ENSG00000004139.14",31.0132159384018,39.2270444998374,40.3412538919365,51.8611249633995
"ENSG00000004142.12",6033.67463187804,6041.99714361969,5901.58926727455,5726.94994238684
"ENSG00000004399.13",4426.33450927742,4636.01728549394,4466.11298295314,5803.15404437387
"ENSG00000004455.17",4715.07824387633,4409.94563429751,4720.76714814599,4512.97626212114
"ENSG00000004468.13",2.13884247851047,2.06458128946513,0,0
"ENSG00000004478.8",4673.37081554538,4669.05058612539,7352.19352180543,7017.12772463957
"ENSG00000004487.17",1830.84916160496,1872.57522954487,3237.38562482791,2978.31031932666
"ENSG00000004534.15",1535.68889957052,1556.69429225671,1161.49193497201,1124.01050430878
"ENSG00000004660.15",133.677654906904,124.90716801264,174.812100198392,154.524984584823
"ENSG00000004700.16",2231.88212632568,2235.94153649073,1798.54756934884,1865.94210837701
"ENSG00000004766.17",712.234545343986,736.023229694318,569.820211223603,549.304568489885
"ENSG00000004776.13",5.34710619627618,4.12916257893025,2.52132836824603,3.1751709161265
"ENSG00000004777.18",143.302446060201,132.133202525768,194.98272714436,236.021038098737
"ENSG00000004779.10",1378.4839774,1409.07673005995,1994.37073928261,1447.87793775369
"ENSG00000004799.8",70.5818017908455,57.8082761050236,112.619333781656,92.0799565676686
"ENSG00000004838.14",8.55536991404188,6.19374386839538,10.9257562623995,11.6422933591305
